Dates,CAN 0.75 Feb 24,CAN 2.25 Mar 24,CAN 0.25 Apr 24,CAN 1.5 May 24,CAN 2.5 Jun 24,CAN 2.75 Aug 24,CAN 1.5 Sep 24,CAN 0.75 Oct 24,CAN 3.0 Nov 24,CAN 3.75 Feb 25,CAN 1.25 Mar 25,CAN 1.5 Apr 25,CAN 3.75 May 25,CAN 2.25 Jun 25,CAN 3.5 Aug 25,CAN 0.5 Sep 25,CAN 3.0 Oct 25,CAN 4.5 Nov 25,CAN 4.5 Feb 26,CAN 0.25 Mar 26,CAN 3.0 Apr 26,CAN 1.5 Jun 26,CAN 1.0 Sep 26,CAN 1.25 Mar 27,CAN 1.0 Jun 27,CAN 8.0 Jun 27,CAN 3.245 Aug 27,CAN 2.75 Sep 27,CAN 3.5 Mar 28,CAN 2.0 Jun 28,CAN 3.25 Sep 28,CAN 4.0 Mar 29,CAN 2.25 Jun 29,CAN 5.75 Jun 29,CAN 2.25 Dec 29,CAN 0.5 Dec 30,CAN 1.5 Jun 31,CAN 1.5 Dec 31,CAN 2.0 Jun 32,CAN 2.5 Dec 32,CAN 5.75 Jun 33,CAN 3.25 Dec 33
1/8/2024,99.73,99.63,98.988,98.914,99.037,98.818,97.96,97.22,98.624,99.13,96.46,96.522,99.203,97.352,98.933,94.34,98.161,100.768,100.768,92.862,98.245,94.99,93.46,93.282,92.212,114.356,99.136,97.58,100.5,94.645,99.74,103.406,95.174,112.176,94.856,83.153,88.516,87.846,90.871,94.239,119.748,100.031
1/9/2024,99.75,99.64,99.005,98.942,99.04,98.822,97.98,97.22,98.624,99.135,96.482,96.559,99.24,97.393,98.985,94.37,98.22,100.824,100.824,92.86,98.316,95.034,93.44,93.301,92.314,114.455,99.243,97.591,100.48,94.754,99.72,103.38,95.271,112.274,94.96,83.263,88.599,87.947,91.012,94.391,119.923,100.217
1/10/2024,99.75,99.65,99.019,98.959,99.053,98.835,97.985,97.234,98.658,99.146,96.552,96.562,99.202,97.358,98.945,94.38,98.159,100.753,100.753,92.844,98.266,94.973,93.55,93.245,92.208,114.332,99.141,97.603,100.439,94.611,99.72,103.279,95.118,112.098,94.794,83.067,88.353,87.687,90.678,94.037,119.443,99.792
1/11/2024,99.77,99.661,99.059,98.983,99.064,98.841,97.982,97.255,98.648,99.127,96.576,96.622,99.269,97.4,99.033,94.43,98.28,100.871,100.871,92.856,98.391,95.126,93.53,93.186,92.388,114.467,99.308,97.52,100.328,94.827,99.55,103.132,95.345,112.323,95.077,83.29,88.568,87.894,90.865,94.235,119.651,100.009
1/12/2024,99.8,99.67,99.076,99.004,99.09,98.878,98.021,97.308,98.702,99.242,96.661,96.678,99.287,97.46,99.094,94.49,98.35,100.942,101.384,93.023,98.473,95.179,93.6,93.467,92.517,114.596,99.445,97.74,100.637,94.966,99.88,103.542,95.45,112.431,95.153,83.428,88.774,88.091,91.119,94.499,119.966,100.246
1/15/2024,99.81,99.687,99.09,99.02,99.111,98.909,98.054,97.348,98.748,99.277,96.715,96.705,99.327,97.492,99.092,94.49,98.354,100.919,101.384,93.008,98.488,95.186,93.57,93.493,92.544,114.609,99.469,97.772,100.673,95,99.91,103.552,95.473,112.467,95.196,83.483,88.719,88.023,91.045,94.42,119.791,100.183
1/16/2024,99.82,99.68,99.084,98.997,99.069,98.839,97.974,97.258,98.629,99.111,96.54,96.547,99.192,97.316,98.931,94.42,98.182,100.749,101.162,92.796,98.256,94.957,93.04,93.141,92.176,114.173,99.048,97.441,100.22,94.511,99.44,102.974,94.882,111.792,94.552,82.811,87.984,87.226,90.171,93.458,118.629,99.065
1/17/2024,99.83,99.683,99.099,99.01,99.076,98.832,97.975,97.225,98.586,99.029,96.448,96.431,99.057,97.171,98.724,94.25,97.952,100.5,100.88,92.57,97.961,94.65,93.12,92.856,91.836,113.769,98.669,97.092,99.834,94.073,98.99,102.483,94.384,111.234,93.998,82.246,87.421,86.651,89.58,92.852,117.979,98.393
1/18/2024,99.852,99.708,99.137,99.042,99.099,98.856,97.999,97.249,98.587,99.014,96.495,96.449,99.015,97.181,98.7,94.24,97.933,100.455,100.826,92.546,97.957,94.638,93.08,92.753,91.731,113.646,98.582,96.956,99.662,93.937,98.81,102.279,94.206,111.033,93.819,82.085,87.185,86.354,89.236,92.473,117.476,97.977
1/19/2024,99.88,99.72,99.15,99.049,99.113,98.86,98.007,97.256,98.59,99.025,96.46,96.433,99,97.141,98.667,94.22,97.879,100.402,100.79,92.545,97.918,94.601,93.07,92.764,91.723,113.569,98.516,96.947,99.623,93.88,98.77,102.242,94.13,110.922,93.721,82.024,87.157,86.378,89.268,92.497,117.534,98.001
